date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:36:21	13888/13888	---MC-	200	added ('OK')	application/json	date:Sat,%2010%20Oct%202020%2002:36:20%20GMT	https://springvaleprimary.org/wp-json/wp/v2/pages/21	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-json/wp/v2/pages/21.json	(from https://springvaleprimary.org/)
02:36:21	189088/189088	---MC-	200	added ('OK')	application/json	date:Sat,%2010%20Oct%202020%2002:36:20%20GMT	https://springvaleprimary.org/wp-json/	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-json/index.html	(from https://springvaleprimary.org/)
02:36:21	840/840	---M-Z	200	added ('OK')	text/xml	date:Sat,%2010%20Oct%202020%2002:36:21%20GMT	https://springvaleprimary.org/xmlrpc.php?rsd	C:/My%20Web%20Sites/Website/springvaleprimary.org/xmlrpc0db0.php	(from https://springvaleprimary.org/)
02:36:21	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-55e67bfce7a4e-gzip%22	https://springvaleprimary.org/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-includes/wlwmanifest.xml	(from https://springvaleprimary.org/)
02:36:22	2268/2268	---M--	200	added ('OK')	application/json	date:Sat,%2010%20Oct%202020%2002:36:22%20GMT	https://springvaleprimary.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fspringvaleprimary.org%2F	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-json/oembed/1.0/embed1800.json	(from https://springvaleprimary.org/)
02:36:22	2362/2362	---M-Z	200	added ('OK')	text/xml	date:Sat,%2010%20Oct%202020%2002:36:22%20GMT	https://springvaleprimary.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fspringvaleprimary.org%2F&format=xml	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-json/oembed/1.0/embed42c4	(from https://springvaleprimary.org/)
02:36:22	1158/1158	---M--	200	added ('OK')	image/png	etag:%2258e9302ebe3bc1f4%22	https://i2.wp.com/springvaleprimary.org/wp-content/uploads/2019/11/cropped-Springvale-Identity-Design6.png?fit=32%2C32&ssl=1	C:/My%20Web%20Sites/Website/i2.wp.com/springvaleprimary.org/wp-content/uploads/2019/11/cropped-Springvale-Identity-Design6e43b.png	(from https://springvaleprimary.org/)
02:36:23	5074/5074	---M--	200	added ('OK')	image/png	etag:%22ae2a5ad85c037e23%22	https://i2.wp.com/springvaleprimary.org/wp-content/uploads/2019/11/cropped-Springvale-Identity-Design6.png?fit=192%2C192&ssl=1	C:/My%20Web%20Sites/Website/i2.wp.com/springvaleprimary.org/wp-content/uploads/2019/11/cropped-Springvale-Identity-Design698d8.png	(from https://springvaleprimary.org/)
02:36:23	4569/4569	---M--	200	added ('OK')	image/png	etag:%22b5a6d14b05037f02%22	https://i2.wp.com/springvaleprimary.org/wp-content/uploads/2019/11/cropped-Springvale-Identity-Design6.png?fit=180%2C180&ssl=1	C:/My%20Web%20Sites/Website/i2.wp.com/springvaleprimary.org/wp-content/uploads/2019/11/cropped-Springvale-Identity-Design6f9b5.png	(from https://springvaleprimary.org/)
02:36:23	19860/19860	---M--	200	added ('OK')	image/png	etag:%223367c7e435eaf334%22	https://i0.wp.com/springvaleprimary.org/wp-content/uploads/2019/06/awesomeCOVIDNHSMARK-DARK2-e1589374273242.png?fit=750%2C531&ssl=1	C:/My%20Web%20Sites/Website/i0.wp.com/springvaleprimary.org/wp-content/uploads/2019/06/awesomeCOVIDNHSMARK-DARK2-e15893742732427e63.png	(from https://springvaleprimary.org/)
02:36:24	5569/5569	---M--	200	added ('OK')	image/png	etag:%2242b8742163e70bfc%22	https://i1.wp.com/springvaleprimary.org/wp-content/uploads/2017/12/Springvale-Identity-Design12.png?fit=300%2C212&ssl=1	C:/My%20Web%20Sites/Website/i1.wp.com/springvaleprimary.org/wp-content/uploads/2017/12/Springvale-Identity-Design121592.png	(from https://springvaleprimary.org/)
